time,euclidean_error
0,0.5
0.01,0.499998659360653
0.02,0.499991455532988
0.03,0.499977203584584
0.04,0.499955699092844
0.05,0.499925636738128
0.06,0.499886553124016
0.07,0.499839100060795
0.08,0.499783798737585
0.09,0.499721931409202
0.1,0.499654467796282
0.11,0.499582170248573
0.12,0.499505924282312
0.13,0.499426501595117
0.14,0.499344501508954
0.15,0.499260526380194
0.16,0.499175077321701
0.17,0.499088533333333
0.18,0.499001094480247
0.19,0.498912602840726
0.2,0.498822659975636
0.21,0.498730925431299
0.22,0.498637483795862
0.23,0.498541611331262
0.24,0.498442114233548
0.25,0.498338894316468
0.26,0.498231913067759
0.27,0.498121028075816
0.28,0.498006363734464
0.29,0.497887759188382
0.3,0.497764809512297
0.31,0.497637599169184
0.32,0.497505671029427
0.33,0.497369355909653
0.34,0.497229228659641
0.35,0.497085034963954
0.36,0.496935941335636
0.37,0.496781959824099
0.38,0.496623684060759
0.39,0.496460931873318
0.4,0.496293554134995
0.41,0.496121373843321
0.42,0.495943963726707
0.43,0.495761654736928
0.44,0.495574778495258
0.45,0.495382683861157
0.46,0.495185295983144
0.47,0.494982752256516
0.48,0.494774590059599
0.49,0.494560805170312
0.5,0.494341932863185
0.51,0.494117845020609
0.52,0.493887989798931
0.53,0.493652864903314
0.54,0.493412564649492
0.55,0.493167151771501
0.56,0.492916398408206
0.57,0.49265969337333
0.58,0.492397301736036
0.59,0.492129482850663
0.6,0.491856360962052
0.61,0.49157783485999
0.62,0.49129406654814
0.63,0.491004786140141
0.64,0.49070964125853
0.65,0.490408625039126
0.66,0.490102136567432
0.67,0.48979071736373
0.68,0.489473619805212
0.69,0.489150488995156
0.7,0.488821330583892
0.71,0.488486341218135
0.72,0.488145635443632
0.73,0.487798926345616
0.74,0.487446301951338
0.75,0.48708779652922
0.76,0.48672344636277
0.77,0.486353721551883
0.78,0.485978912036788
0.79,0.485598185649155
0.8,0.485211382403309
0.81,0.484819062812894
0.82,0.484420996811425
0.83,0.484016619864441
0.84,0.483606163706458
0.85,0.483190052579454
0.86,0.482768392942751
0.87,0.482341331370032
0.88,0.481908928221353
0.89,0.481471012819213
0.9,0.481027678870414
0.91,0.480578366951277
0.92,0.480122751528945
0.93,0.479660858887237
0.94,0.47919240241828
0.95,0.478717778435828
0.96,0.478237238023847
0.97,0.477751164443274
0.98,0.477259478839828
0.99,0.476761472864925
1,0.476257145241052
1.01,0.475747518554258
1.02,0.475232371992991
1.03,0.474711419965212
1.04,0.474184611667905
1.05,0.47365175439753
1.06,0.473113406578566
1.07,0.472569377734859
1.08,0.472019201307159
1.09,0.471463183004866
1.1,0.47090133479639
1.11,0.470333336522017
1.12,0.469760023130187
1.13,0.469181547838576
1.14,0.468598176452867
1.15,0.468009046162095
1.16,0.467413579675179
1.17,0.466812374324591
1.18,0.466205150599425
1.19,0.465591780810653
1.2,0.464972875644764
1.21,0.464348868071495
1.22,0.463719321555259
1.23,0.463083474598627
1.24,0.462441956148103
1.25,0.461795276216919
1.26,0.461143165782824
1.27,0.460485944506601
1.28,0.459823204498314
1.29,0.45915420160091
1.3,0.458479812432228
1.31,0.457800742500329
1.32,0.457116779059568
1.33,0.456427233557639
1.34,0.455731780021656
1.35,0.455030892129651
1.36,0.454325319879811
1.37,0.453615356172536
1.38,0.452900985715731
1.39,0.452182241761106
1.4,0.451458297678603
1.41,0.450728370168937
1.42,0.449992763489106
1.43,0.449252407535136
1.44,0.44850801378337
1.45,0.44775922694229
1.46,0.447005755584884
1.47,0.446247587174998
1.48,0.445484247999966
1.49,0.444716123881894
1.5,0.443943985106452
1.51,0.443167632638553
1.52,0.442387100761079
1.53,0.441601566319432
1.54,0.440809849407268
1.55,0.440012561724082
1.56,0.439210201224802
1.57,0.438402866135199
1.58,0.437590686670813
1.59,0.436773853494247
1.6,0.43595244103769
1.61,0.435126180292855
1.62,0.434295322399563
1.63,0.433460012927068
1.64,0.432620369097087
1.65,0.431776448201815
1.66,0.430928204380786
1.67,0.430075686619894
1.68,0.429218763058051
1.69,0.428357736978815
1.7,0.427492733025701
1.71,0.426623531504584
1.72,0.425750366896301
1.73,0.424873591705946
1.74,0.423992788863821
1.75,0.423107812358913
1.76,0.422219124806683
1.77,0.421326562860659
1.78,0.420429843200894
1.79,0.419528998191629
1.8,0.41862432560339
1.81,0.417716186922616
1.82,0.416804580128563
1.83,0.415889431513108
1.84,0.414970783025221
1.85,0.414048646537244
1.86,0.413122817217162
1.87,0.412193158895446
1.88,0.411259876297138
1.89,0.410323035777871
1.9,0.409382709507032
1.91,0.408439163855181
1.92,0.407492499847086
1.93,0.406542707914192
1.94,0.405589370897231
1.95,0.404632630933949
1.96,0.403672712273638
1.97,0.402709349337968
1.98,0.401742797923114
1.99,0.400773332742129
2,0.399800740568548
2.01,0.398824847419957
2.02,0.397845809329897
2.03,0.396863852474794
2.04,0.395879021804852
2.05,0.394891241160305
2.06,0.393900618216607
2.07,0.392907210244143
2.08,0.391911051529012
2.09,0.390912156689454
2.1,0.389910496174957
2.11,0.388906069162565
2.12,0.387898948381903
2.13,0.386889172321895
2.14,0.385876699394704
2.15,0.384861613547996
2.16,0.383844000114845
2.17,0.382823854972885
2.18,0.381801200917646
2.19,0.380776107069822
2.2,0.379748629056354
2.21,0.378718789363358
2.22,0.377686619658576
2.23,0.376652160488893
2.24,0.375615439512359
2.25,0.374576513362737
2.26,0.373535440517886
2.27,0.372492216479536
2.28,0.371446879280039
2.29,0.37039945271923
2.3,0.369349930157189
2.31,0.368298374319882
2.32,0.367244835312892
