time,euclidean_error
0,0.5
0.01,0.499999512293529
0.02,0.499994800257901
0.03,0.499981718860365
0.04,0.499959531082188
0.05,0.499928127330477
0.06,0.499887793274647
0.07,0.499839031941006
0.08,0.499783219457415
0.09,0.499721493763953
0.1,0.499654844854286
0.11,0.499583872337295
0.12,0.499509275896492
0.13,0.499431805666633
0.14,0.499352253188874
0.15,0.499271308673421
0.16,0.49918920224674
0.17,0.49910631821974
0.18,0.499022719875863
0.19,0.498938417065753
0.2,0.498854181999882
0.21,0.498769721224422
0.22,0.498684093919393
0.23,0.49859679592543
0.24,0.498506312037344
0.25,0.498411578508575
0.26,0.49831312592082
0.27,0.498210207626143
0.28,0.498101862157045
0.29,0.497988854464712
0.3,0.497872297814954
0.31,0.497752372548663
0.32,0.497628956107912
0.33,0.497501820134663
0.34,0.497370157696043
0.35,0.497232905269206
0.36,0.497090502292798
0.37,0.49694271876076
0.38,0.496789571407017
0.39,0.496631513532882
0.4,0.496468202507139
0.41,0.49629928342111
0.42,0.496124326735684
0.43,0.495943685423628
0.44,0.495757082860681
0.45,0.495564789490122
0.46,0.495367446045178
0.47,0.495164726206499
0.48,0.494956618706303
0.49,0.49474348420654
0.5,0.494525389637168
0.51,0.494302625826858
0.52,0.494074732019802
0.53,0.49384147655659
0.54,0.493602564316865
0.55,0.493357280270129
0.56,0.493105884327298
0.57,0.492848773761505
0.58,0.492586566466507
0.59,0.492319110335253
0.6,0.492045694694616
0.61,0.491766188210041
0.62,0.491480838311535
0.63,0.491189431460906
0.64,0.490892280505645
0.65,0.490590080886791
0.66,0.490282602207746
0.67,0.489969203178411
0.68,0.489650163960894
0.69,0.489326177692769
0.7,0.488996314914218
0.71,0.488660004475299
0.72,0.48831766704529
0.73,0.487969557890283
0.74,0.487616297809478
0.75,0.487258023945417
0.76,0.486894264121217
0.77,0.486524274105974
0.78,0.486148141868764
0.79,0.485766827819779
0.8,0.485379753357744
0.81,0.484986335847419
0.82,0.484587288215594
0.83,0.484182246291469
0.84,0.48377114583367
0.85,0.483354054605415
0.86,0.482930679168971
0.87,0.482500664573827
0.88,0.482064060651575
0.89,0.481621340837244
0.9,0.481172972545758
0.91,0.480718486255342
0.92,0.480257753668809
0.93,0.479791815138718
0.94,0.479319964315135
0.95,0.478841290389881
0.96,0.4783566112269
0.97,0.477865870203533
0.98,0.477368589830542
0.99,0.476865595778134
1,0.476357113070402
1.01,0.475842663917848
1.02,0.475322071458917
1.03,0.474795727344255
1.04,0.474263720227707
1.05,0.473725908090521
1.06,0.473182863488338
1.07,0.472634224764718
1.08,0.472079847631592
1.09,0.471520039620602
1.1,0.470954259638969
1.11,0.470382491671267
1.12,0.4698055615572
1.13,0.46922310936892
1.14,0.468634954826994
1.15,0.468041072918135
1.16,0.4674413021477
1.17,0.466836175534343
1.18,0.466225825604142
1.19,0.465610665577796
1.2,0.464989773696937
1.21,0.464362574362752
1.22,0.463729514509242
1.23,0.463090827315135
1.24,0.462447266666755
1.25,0.461798531979938
1.26,0.461143723565809
1.27,0.460482816495492
1.28,0.459816786582045
1.29,0.459146057252088
1.3,0.458470639569567
1.31,0.457790157535913
1.32,0.457103754190395
1.33,0.45641151210518
1.34,0.455714420647436
1.35,0.455013128897151
1.36,0.454307567178988
1.37,0.453596833697758
1.38,0.452880127456137
1.39,0.452158008051675
1.4,0.451430361990107
1.41,0.450697466521894
1.42,0.449959710863199
1.43,0.44921667289511
1.44,0.448468770106826
1.45,0.447715853194735
1.46,0.446958124934023
1.47,0.44619560965115
1.48,0.445428175503856
1.49,0.444655985912323
1.5,0.443878654215731
1.51,0.443096910169963
1.52,0.442310781747953
1.53,0.441520008625822
1.54,0.440724957239575
1.55,0.439925458925381
1.56,0.439120912840543
1.57,0.438311348577123
1.58,0.437497232524425
1.59,0.436678791510119
1.6,0.435855705491612
1.61,0.43502786436301
1.62,0.434195850961237
1.63,0.433359457910594
1.64,0.43251825133501
1.65,0.431672553459514
1.66,0.430822718865187
1.67,0.429968808391191
1.68,0.429110943563323
1.69,0.428249425415913
1.7,0.427383657981395
1.71,0.426513772026006
1.72,0.425639862119202
1.73,0.424761771533897
1.74,0.4238800200555
1.75,0.422994219483713
1.76,0.422104466211797
1.77,0.421210941120437
1.78,0.420313504037173
1.79,0.419412523044497
1.8,0.418508037524753
1.81,0.417599758690685
1.82,0.416687568345292
1.83,0.415771354898338
1.84,0.414851110617548
1.85,0.413927219306534
1.86,0.412999989857162
1.87,0.412069453269359
1.88,0.411135348645507
1.89,0.410197581767449
1.9,0.409256117686248
1.91,0.408311161263623
1.92,0.407362799449755
1.93,0.406410852751988
1.94,0.405455478856681
1.95,0.404496845802541
1.96,0.403535010463718
1.97,0.402570043843858
1.98,0.401602056448483
1.99,0.400631077346035
2,0.399657055444926
2.01,0.39868002516671
2.02,0.39770008086845
2.03,0.396717155436558
2.04,0.395731260516349
2.05,0.394742533729966
2.06,0.393750979651441
2.07,0.392756623714825
2.08,0.39175959065166
2.09,0.390759962757799
2.1,0.389757649704639
2.11,0.388752649829999
2.12,0.387745084163298
2.13,0.386734889734732
2.14,0.385722091316304
2.15,0.384706802225944
2.16,0.383688997212163
2.17,0.382668668954827
2.18,0.381645871845299
2.19,0.380620655006711
2.2,0.379593058967753
2.21,0.378563119161385
2.22,0.377530884208385
2.23,0.376496376548796
2.24,0.37545961240433
2.25,0.374420615666225
2.26,0.373379407485517
2.27,0.372336029941496
2.28,0.37129055839163
2.29,0.370243108420532
2.3,0.369193738801846
2.31,0.368142363046467
2.32,0.367088929590304
