time,euclidean_error
0,0.5
0.01,0.499998659360653
0.02,0.499992322230752
0.03,0.49997929753338
0.04,0.49995692825224
0.05,0.499925748425234
0.06,0.499885568496403
0.07,0.499837272050197
0.08,0.499782036156394
0.09,0.499720649015517
0.1,0.499654469671438
0.11,0.499584519424196
0.12,0.499511789009572
0.13,0.499437087718594
0.14,0.499361006696856
0.15,0.499283894071668
0.16,0.499205921121929
0.17,0.499127038899492
0.18,0.49904696178108
0.19,0.498965959661525
0.2,0.498884650120832
0.21,0.498802856406883
0.22,0.498719037013109
0.23,0.498632442413214
0.24,0.498543010985534
0.25,0.498450565237444
0.26,0.498356396846064
0.27,0.498258721927577
0.28,0.498156319863264
0.29,0.498049672906193
0.3,0.497939251209389
0.31,0.497824863694934
0.32,0.497705327349385
0.33,0.497581623005228
0.34,0.497452286676633
0.35,0.497316408922139
0.36,0.497174465693512
0.37,0.49702567646544
0.38,0.496870963230571
0.39,0.496710379298338
0.4,0.496543909366042
0.41,0.496371989409515
0.42,0.49619462075001
0.43,0.496012056490473
0.44,0.495824214975498
0.45,0.495630802732952
0.46,0.495432049441487
0.47,0.495228275683816
0.48,0.495019535669436
0.49,0.494805386647032
0.5,0.494585604957528
0.51,0.494360500897711
0.52,0.494130286325634
0.53,0.493895064857148
0.54,0.493655043051757
0.55,0.493410352950412
0.56,0.493160190269198
0.57,0.492904167365613
0.58,0.492642661734596
0.59,0.492376046497861
0.6,0.492104890342063
0.61,0.491828264094456
0.62,0.491545133574837
0.63,0.49125559144375
0.64,0.490960513814469
0.65,0.490660361497251
0.66,0.490354845126176
0.67,0.490044149026491
0.68,0.489727824841271
0.69,0.489405429426939
0.7,0.489077684235805
0.71,0.488743632775967
0.72,0.488402489785715
0.73,0.488055237554027
0.74,0.487702266759899
0.75,0.487343485055963
0.76,0.486978787954991
0.77,0.486608563265029
0.78,0.48623239679114
0.79,0.485849899057881
0.8,0.485462143044561
0.81,0.485068787125095
0.82,0.484668814167815
0.83,0.4842626748021
0.84,0.483851313456432
0.85,0.483435123091058
0.86,0.483013922160686
0.87,0.48258712638424
0.88,0.482154059775388
0.89,0.481714592549902
0.9,0.48126876197666
0.91,0.480816469150893
0.92,0.480358145015863
0.93,0.479893188958124
0.94,0.479422194954755
0.95,0.478946311757924
0.96,0.478464177758199
0.97,0.4779752451781
0.98,0.477479654809129
0.99,0.476976899379551
1,0.476467288934889
1.01,0.475951633751382
1.02,0.475430778804843
1.03,0.47490431727911
1.04,0.474371916191149
1.05,0.473833840781432
1.06,0.473290501042385
1.07,0.472741998488902
1.08,0.472187514913376
1.09,0.471627402534432
1.1,0.471061784578296
1.11,0.470490363654482
1.12,0.469913168972989
1.13,0.46933023807804
1.14,0.468742152921763
1.15,0.468148297218421
1.16,0.467548653660502
1.17,0.466943792919389
1.18,0.466333085246858
1.19,0.465716037904057
1.2,0.465093343106484
1.21,0.464465644038559
1.22,0.463832730608213
1.23,0.46319450159125
1.24,0.462550619505854
1.25,0.461900637222127
1.26,0.461245050113258
1.27,0.460583697234916
1.28,0.459916504721421
1.29,0.459244154056803
1.3,0.458566410180777
1.31,0.457883268910048
1.32,0.457194803475344
1.33,0.456500567198293
1.34,0.455801190978134
1.35,0.455097140023636
1.36,0.454387722506208
1.37,0.453672982752718
1.38,0.452953337409879
1.39,0.452228838653421
1.4,0.451499292524139
1.41,0.450764634916245
1.42,0.450024998580042
1.43,0.449280266572243
1.44,0.448530922925199
1.45,0.447776894248909
1.46,0.447017865048893
1.47,0.446254342214697
1.48,0.4454867581981
1.49,0.444714561310189
1.5,0.443937040083132
1.51,0.443154516496852
1.52,0.442367545347834
1.53,0.441576160103414
1.54,0.440780631821209
1.55,0.439980544366839
1.56,0.439175457616524
1.57,0.4383662708201
1.58,0.437553112050779
1.59,0.436735435101617
1.6,0.435913110653947
1.61,0.435086458709219
1.62,0.434255515997291
1.63,0.433420130511307
1.64,0.432580703841971
1.65,0.431737296383201
1.66,0.43088982243574
1.67,0.430037812402801
1.68,0.42918106582481
1.69,0.428320496404623
1.7,0.427456175489359
1.71,0.426587497068424
1.72,0.425714454347324
1.73,0.424837053229023
1.74,0.423955519207901
1.75,0.423070131086005
1.76,0.422180354564999
1.77,0.42128649212665
1.78,0.420388497556793
1.79,0.419486348282269
1.8,0.418580570702052
1.81,0.417671042674403
1.82,0.416757492272707
1.83,0.415840316627209
1.84,0.414919485480622
1.85,0.413994931228095
1.86,0.413066754121092
1.87,0.412134838583055
1.88,0.411199396634699
1.89,0.410260496408936
1.9,0.409318042334469
1.91,0.408371980949127
1.92,0.407422633650172
1.93,0.406470167264375
1.94,0.405514599501274
1.95,0.404555968309413
1.96,0.403594300672314
1.97,0.40262965710195
1.98,0.401662036472296
1.99,0.400691419163358
2,0.399717833235524
2.01,0.398741296482544
2.02,0.397761878788833
2.03,0.396779460891784
2.04,0.39579396368439
2.05,0.394805409635153
2.06,0.393813677247379
2.07,0.392818934510848
2.08,0.391821283465759
2.09,0.390820759159131
2.1,0.389817474384788
2.11,0.388811505375388
2.12,0.387802876283463
2.13,0.386791608144234
2.14,0.385777763934421
2.15,0.384761425939985
2.16,0.383742594016791
2.17,0.38272128021906
2.18,0.381697522937253
2.19,0.380671356646635
2.2,0.379642823725391
2.21,0.378611965043108
2.22,0.377578826964855
2.23,0.376543425117685
2.24,0.375505803924167
2.25,0.374465998463005
2.26,0.373424023486619
2.27,0.372379938585204
2.28,0.371333720820155
2.29,0.370285481607175
2.3,0.369235260567321
2.31,0.368182982461426
2.32,0.367128794160781
